,name,type,count,amount,year,quarter,state,quarter_year
0,Recharge & bill payments,TOTAL,15263,6611459.873,2019,1,andaman-&-nicobar-islands,Q1 2019
1,Peer-to-peer payments,TOTAL,13119,91808345.87,2019,1,andaman-&-nicobar-islands,Q1 2019
2,Merchant payments,TOTAL,1759,3266589.847,2019,1,andaman-&-nicobar-islands,Q1 2019
3,Financial Services,TOTAL,62,116250.4367,2019,1,andaman-&-nicobar-islands,Q1 2019
4,Others,TOTAL,283,497094.6484,2019,1,andaman-&-nicobar-islands,Q1 2019
5,Recharge & bill payments,TOTAL,14676,7242448.256,2019,2,andaman-&-nicobar-islands,Q2 2019
6,Peer-to-peer payments,TOTAL,14481,107525358.7,2019,2,andaman-&-nicobar-islands,Q2 2019
7,Merchant payments,TOTAL,4031,4702152.617,2019,2,andaman-&-nicobar-islands,Q2 2019
8,Financial Services,TOTAL,124,113278.9137,2019,2,andaman-&-nicobar-islands,Q2 2019
9,Others,TOTAL,377,671471.2226,2019,2,andaman-&-nicobar-islands,Q2 2019
10,Recharge & bill payments,TOTAL,16219,8171737.706,2019,3,andaman-&-nicobar-islands,Q3 2019
11,Peer-to-peer payments,TOTAL,13767,101079821.1,2019,3,andaman-&-nicobar-islands,Q3 2019
12,Merchant payments,TOTAL,3519,4428734.575,2019,3,andaman-&-nicobar-islands,Q3 2019
13,Financial Services,TOTAL,50,158857.9432,2019,3,andaman-&-nicobar-islands,Q3 2019
14,Others,TOTAL,215,232624.7599,2019,3,andaman-&-nicobar-islands,Q3 2019
15,Peer-to-peer payments,TOTAL,18128,121493224.3,2019,4,andaman-&-nicobar-islands,Q4 2019
16,Recharge & bill payments,TOTAL,13851,9538690.916,2019,4,andaman-&-nicobar-islands,Q4 2019
17,Merchant payments,TOTAL,2920,5247500.488,2019,4,andaman-&-nicobar-islands,Q4 2019
18,Financial Services,TOTAL,60,295937.2111,2019,4,andaman-&-nicobar-islands,Q4 2019
19,Others,TOTAL,200,263177.5944,2019,4,andaman-&-nicobar-islands,Q4 2019
20,Peer-to-peer payments,TOTAL,18324,142332401.8,2020,1,andaman-&-nicobar-islands,Q1 2020
21,Recharge & bill payments,TOTAL,18268,10850414.02,2020,1,andaman-&-nicobar-islands,Q1 2020
22,Merchant payments,TOTAL,4424,7752871.558,2020,1,andaman-&-nicobar-islands,Q1 2020
23,Financial Services,TOTAL,66,208231.7307,2020,1,andaman-&-nicobar-islands,Q1 2020
24,Others,TOTAL,216,332393.192,2020,1,andaman-&-nicobar-islands,Q1 2020
25,Recharge & bill payments,TOTAL,38125,17659622.73,2020,2,andaman-&-nicobar-islands,Q2 2020
26,Peer-to-peer payments,TOTAL,20303,141728757.7,2020,2,andaman-&-nicobar-islands,Q2 2020
27,Merchant payments,TOTAL,4004,9236375.74,2020,2,andaman-&-nicobar-islands,Q2 2020
28,Financial Services,TOTAL,175,706932.1397,2020,2,andaman-&-nicobar-islands,Q2 2020
29,Others,TOTAL,355,313313.0646,2020,2,andaman-&-nicobar-islands,Q2 2020
30,Recharge & bill payments,TOTAL,59310,24756220.88,2020,3,andaman-&-nicobar-islands,Q3 2020
31,Peer-to-peer payments,TOTAL,40697,289078946.7,2020,3,andaman-&-nicobar-islands,Q3 2020
32,Merchant payments,TOTAL,16096,22682992.24,2020,3,andaman-&-nicobar-islands,Q3 2020
33,Financial Services,TOTAL,572,961836.713,2020,3,andaman-&-nicobar-islands,Q3 2020
34,Others,TOTAL,808,539449.7722,2020,3,andaman-&-nicobar-islands,Q3 2020
35,Peer-to-peer payments,TOTAL,81439,533316526.2,2020,4,andaman-&-nicobar-islands,Q4 2020
36,Recharge & bill payments,TOTAL,80811,33710030.53,2020,4,andaman-&-nicobar-islands,Q4 2020
37,Merchant payments,TOTAL,59391,56867468.94,2020,4,andaman-&-nicobar-islands,Q4 2020
38,Financial Services,TOTAL,965,1880546.967,2020,4,andaman-&-nicobar-islands,Q4 2020
39,Others,TOTAL,1925,1508083.692,2020,4,andaman-&-nicobar-islands,Q4 2020
40,Peer-to-peer payments,TOTAL,105458,665391395.7,2021,1,andaman-&-nicobar-islands,Q1 2021
41,Recharge & bill payments,TOTAL,84119,37160922.87,2021,1,andaman-&-nicobar-islands,Q1 2021
42,Merchant payments,TOTAL,53090,78606979.06,2021,1,andaman-&-nicobar-islands,Q1 2021
43,Financial Services,TOTAL,884,1469351.085,2021,1,andaman-&-nicobar-islands,Q1 2021
44,Others,TOTAL,1201,1077918.666,2021,1,andaman-&-nicobar-islands,Q1 2021
45,Peer-to-peer payments,TOTAL,132772,748382044.8,2021,2,andaman-&-nicobar-islands,Q2 2021
46,Recharge & bill payments,TOTAL,120911,43691961.26,2021,2,andaman-&-nicobar-islands,Q2 2021
47,Merchant payments,TOTAL,85143,103707408.5,2021,2,andaman-&-nicobar-islands,Q2 2021
48,Financial Services,TOTAL,960,2038521.514,2021,2,andaman-&-nicobar-islands,Q2 2021
49,Others,TOTAL,1628,1327080.056,2021,2,andaman-&-nicobar-islands,Q2 2021
50,Peer-to-peer payments,TOTAL,192321,1077787837,2021,3,andaman-&-nicobar-islands,Q3 2021
51,Recharge & bill payments,TOTAL,136010,51243450.86,2021,3,andaman-&-nicobar-islands,Q3 2021
52,Merchant payments,TOTAL,118340,176991328.2,2021,3,andaman-&-nicobar-islands,Q3 2021
53,Financial Services,TOTAL,990,2351013.442,2021,3,andaman-&-nicobar-islands,Q3 2021
54,Others,TOTAL,2103,1650766.127,2021,3,andaman-&-nicobar-islands,Q3 2021
55,Peer-to-peer payments,TOTAL,285778,1544932663,2021,4,andaman-&-nicobar-islands,Q4 2021
